Technology,Material,n,CV (observed),CV (reference),CV (adjusted),Adjustment ratio,Is reference,Low-N (<5)
Gas CCS,Nickel,3,0.13405046533592127,0.41170370790481037,0.41170370790481037,3.0712590730148466,False,True
Gas CCS,Steel,2,0.2536516747238517,0.41170370790481037,0.41170370790481037,1.6231066022056764,False,True
Geothermal,Aluminum,7,2.286037438272914,1.10496995384201,2.286037438272914,1.0,False,False
Geothermal,Cement,8,1.10496995384201,1.10496995384201,1.10496995384201,1.0,True,False
Geothermal,Copper,3,2.537899545315601,1.10496995384201,2.537899545315601,1.0,False,True
Geothermal,Steel,8,1.1278190222849698,1.10496995384201,1.1278190222849698,1.0,False,False
Hydro,Aluminum,1,0.0,0.3204722484228983,0.3204722484228983,inf,False,True
Hydro,Cement,8,0.3204722484228983,0.3204722484228983,0.3204722484228983,1.0,True,False
Hydro,Copper,3,0.452145208490175,0.3204722484228983,0.452145208490175,1.0,False,True
Hydro,Steel,4,0.8043409803009617,0.3204722484228983,0.8043409803009617,1.0,False,True
NGCC,Aluminum,2,0.060033643086683526,0.2755415057134112,0.2755415057134112,4.589784853062348,False,True
NGCC,Cement,4,0.2755415057134112,0.2755415057134112,0.2755415057134112,1.0,True,True
NGCC,Copper,4,0.064345852515116,0.2755415057134112,0.2755415057134112,4.282195276668088,False,True
NGCC,Manganese,3,0.2544258844923164,0.2755415057134112,0.2755415057134112,1.0829932114149041,False,True
NGCC,Nickel,3,0.13405046533592127,0.2755415057134112,0.2755415057134112,2.0555057755519393,False,True
NGCC,Steel,2,0.25365210852552045,0.2755415057134112,0.2755415057134112,1.086296925797833,False,True
NGGT,Aluminum,2,0.060033643086683526,0.2755415057134112,0.2755415057134112,4.589784853062348,False,True
NGGT,Cement,4,0.2755415057134112,0.2755415057134112,0.2755415057134112,1.0,True,True
NGGT,Copper,4,0.064345852515116,0.2755415057134112,0.2755415057134112,4.282195276668088,False,True
NGGT,Manganese,3,0.2544258844923164,0.2755415057134112,0.2755415057134112,1.0829932114149041,False,True
NGGT,Nickel,3,0.13405046533592127,0.2755415057134112,0.2755415057134112,2.0555057755519393,False,True
NGGT,Steel,2,0.25365210852552045,0.2755415057134112,0.2755415057134112,1.086296925797833,False,True
Nuclear New,Aluminum,4,0.436116421131402,0.4249761034549537,0.436116421131402,1.0,False,True
Nuclear New,Cement,9,0.4249761034549537,0.4249761034549537,0.4249761034549537,1.0,True,False
Nuclear New,Copper,5,0.37215648775388327,0.4249761034549537,0.4249761034549537,1.141928509750988,False,False
Nuclear New,Manganese,4,0.3147566639452481,0.4249761034549537,0.4249761034549537,1.35017348998488,False,True
Nuclear New,Nickel,5,1.0551414889329518,0.4249761034549537,1.0551414889329518,1.0,False,False
Nuclear New,Silver,3,0.0,0.4249761034549537,0.4249761034549537,inf,False,True
Nuclear New,Steel,6,0.9041402642867732,0.4249761034549537,0.9041402642867732,1.0,False,False
Solar Distributed,Aluminum,4,0.46927376117817243,0.9035768822638006,0.9035768822638006,1.9254792341154001,False,True
Solar Distributed,Cement,6,0.2701236195930867,0.9035768822638006,0.9035768822638006,3.3450495133485396,False,False
Solar Distributed,Copper,11,1.8044421254725196,0.9035768822638006,1.8044421254725196,1.0,False,False
Solar Distributed,Glass,3,0.11829068557329675,0.9035768822638006,0.9035768822638006,7.6386139608931005,False,True
Solar Distributed,Lead,6,3.1266747391090144,0.9035768822638006,3.1266747391090144,1.0,False,False
Solar Distributed,Magnesium,1,0.0,0.9035768822638006,0.9035768822638006,inf,False,True
Solar Distributed,Nickel,5,0.11862110291474368,0.9035768822638006,0.9035768822638006,7.61733671379895,False,False
Solar Distributed,Silicon,15,5.411363792114198,0.9035768822638006,5.411363792114198,1.0,False,False
Solar Distributed,Silver,30,0.9035768822638006,0.9035768822638006,0.9035768822638006,1.0,True,False
Solar Distributed,Steel,2,0.0008936554654603253,0.9035768822638006,0.9035768822638006,1011.102060231193,False,True
Solar Distributed,Tin,1,0.0,0.9035768822638006,0.9035768822638006,inf,False,True
a-Si,Cadmium,1,0.0,1.2052995067850287,1.2052995067850287,inf,False,True
a-Si,Chromium,1,0.0,1.2052995067850287,1.2052995067850287,inf,False,True
a-Si,Copper,2,1.6625194854514376,1.2052995067850287,1.6625194854514376,1.0,False,True
a-Si,Germanium,16,1.2052995067850287,1.2052995067850287,1.2052995067850287,1.0,True,False
a-Si,Indium,4,0.4814498127053013,1.2052995067850287,1.2052995067850287,2.5034790231039112,False,True
a-Si,Molybdenum,1,0.0,1.2052995067850287,1.2052995067850287,inf,False,True
a-Si,Nickel,1,0.0,1.2052995067850287,1.2052995067850287,inf,False,True
a-Si,Silicon,1,0.0,1.2052995067850287,1.2052995067850287,inf,False,True
a-Si,Tellurium,1,0.0,1.2052995067850287,1.2052995067850287,inf,False,True
a-Si,Tin,2,33.527798796718244,1.2052995067850287,33.527798796718244,1.0,False,True
offshore wind,Aluminum,20,1.3362973963080897,1.0295290340457415,1.3362973963080897,1.0,False,False
offshore wind,Boron,1,0.0,1.0295290340457415,1.0295290340457415,inf,False,True
offshore wind,Cement,4,0.2215488892331996,1.0295290340457415,1.0295290340457415,4.646960937646914,False,True
offshore wind,Chromium,4,0.1802102718935388,1.0295290340457415,1.0295290340457415,5.71293202783661,False,True
offshore wind,Copper,49,1.0295290340457415,1.0295290340457415,1.0295290340457415,1.0,True,False
offshore wind,Dysprosium,18,0.6421255249614519,1.0295290340457415,1.0295290340457415,1.603314296075594,False,False
offshore wind,Fiberglass,5,0.3093364842258459,1.0295290340457415,1.0295290340457415,3.328184958920282,False,False
offshore wind,Lead,3,0.2749792032544543,1.0295290340457415,1.0295290340457415,3.7440250821188763,False,True
offshore wind,Molybdenum,1,0.0,1.0295290340457415,1.0295290340457415,inf,False,True
offshore wind,Neodymium,41,0.5274798487874515,1.0295290340457415,1.0295290340457415,1.9517883695697185,False,False
offshore wind,Nickel,4,0.5682070057776858,1.0295290340457415,1.0295290340457415,1.8118907784965794,False,True
offshore wind,Niobium,1,0.0,1.0295290340457415,1.0295290340457415,inf,False,True
offshore wind,Praseodymium,4,0.05202236649564458,1.0295290340457415,1.0295290340457415,19.790123045093225,False,True
offshore wind,Steel,20,0.6169607672368087,1.0295290340457415,1.0295290340457415,1.668710700449736,False,False
offshore wind,Terbium,3,0.06740343483362354,1.0295290340457415,1.0295290340457415,15.274133085160981,False,True
offshore wind,Vanadium,2,0.0,1.0295290340457415,1.0295290340457415,inf,False,True
onshore wind,Aluminum,38,1.430323147994619,0.6647368716625424,1.430323147994619,1.0,False,False
onshore wind,Boron,3,1.0202768536367366,0.6647368716625424,1.0202768536367366,1.0,False,True
onshore wind,Cement,6,0.23744834543637133,0.6647368716625424,0.6647368716625424,2.799500962792225,False,False
onshore wind,Chromium,10,0.40950113129385496,0.6647368716625424,0.6647368716625424,1.6232845793667225,False,False
onshore wind,Copper,102,0.6647368716625424,0.6647368716625424,0.6647368716625424,1.0,True,False
onshore wind,Dysprosium,47,1.4153647721947764,0.6647368716625424,1.4153647721947764,1.0,False,False
onshore wind,Fiberglass,3,0.11002694796864988,0.6647368716625424,0.6647368716625424,6.041582393541868,False,True
onshore wind,Lead,2,0.0,0.6647368716625424,0.6647368716625424,inf,False,True
onshore wind,Manganese,3,0.010336296901064702,0.6647368716625424,0.6647368716625424,64.31093050298027,False,True
onshore wind,Molybdenum,4,0.17301900046633206,0.6647368716625424,0.6647368716625424,3.8419877000265883,False,True
onshore wind,Neodymium,50,1.348827982771719,0.6647368716625424,1.348827982771719,1.0,False,False
onshore wind,Nickel,13,0.6653239766855134,0.6647368716625424,0.6653239766855134,1.0,False,False
onshore wind,Niobium,1,0.0,0.6647368716625424,0.6647368716625424,inf,False,True
onshore wind,Praseodymium,15,2.6039277204455757,0.6647368716625424,2.6039277204455757,1.0,False,False
onshore wind,Steel,48,0.22238547268210423,0.6647368716625424,0.6647368716625424,2.989120033990579,False,False
onshore wind,Terbium,16,2.0408210141278578,0.6647368716625424,2.0408210141278578,1.0,False,False
onshore wind,Vanadium,2,0.0022173012592117073,0.6647368716625424,0.6647368716625424,299.795469335037,False,True
onshore wind,Yttrium,2,0.8626324338272305,0.6647368716625424,0.8626324338272305,1.0,False,True
onshore wind,Zinc,2,0.0,0.6647368716625424,0.6647368716625424,inf,False,True
utility-scale solar pv,Aluminum,4,0.46927376117817243,0.9035768822638006,0.9035768822638006,1.9254792341154001,False,True
utility-scale solar pv,Cement,6,0.2701236195930867,0.9035768822638006,0.9035768822638006,3.3450495133485396,False,False
utility-scale solar pv,Copper,11,1.8044421254725196,0.9035768822638006,1.8044421254725196,1.0,False,False
utility-scale solar pv,Glass,3,0.11829068557329675,0.9035768822638006,0.9035768822638006,7.6386139608931005,False,True
utility-scale solar pv,Lead,6,3.1266747391090144,0.9035768822638006,3.1266747391090144,1.0,False,False
utility-scale solar pv,Magnesium,1,0.0,0.9035768822638006,0.9035768822638006,inf,False,True
utility-scale solar pv,Nickel,5,0.11862110291474368,0.9035768822638006,0.9035768822638006,7.61733671379895,False,False
utility-scale solar pv,Silicon,15,5.411363792114198,0.9035768822638006,5.411363792114198,1.0,False,False
utility-scale solar pv,Silver,30,0.9035768822638006,0.9035768822638006,0.9035768822638006,1.0,True,False
utility-scale solar pv,Steel,2,0.0008936554654603253,0.9035768822638006,0.9035768822638006,1011.102060231193,False,True
utility-scale solar pv,Tin,1,0.0,0.9035768822638006,0.9035768822638006,inf,False,True
